old_url,old_status,new_url,new_status,similarity_score
https://www.tipsbladet.dk/nyhed/primera-division/real-gafler-stortalent,200,https://www.tipsbladet.dk/nyhed/superliga/fcm-anfoerer-det-er-pissefedt,200,0.1707761131901165
https://www.tipsbladet.dk/nyhed/superliga/aabere-soerger-over-marshall,200,https://www.tipsbladet.dk/nyhed/superliga/fcm-anfoerer-det-er-pissefedt,200,0.1707761131901165
https://www.tipsbladet.dk/nyhed/generelle/neymar-og-santos-er-sydamerikas-bedste,200,https://www.tipsbladet.dk/nyhed/superliga/fcm-anfoerer-det-er-pissefedt,200,0.1506401849870651
https://www.tipsbladet.dk/nyhed/spil/dortmund-faar-smaek-i-barcelona,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/superliga/spotpris-se-ob-fcn-og-randers-agf-med-dplay,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/superliga/troels-bechs-suveraene-citater,404,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/spil/tro-paa-tyskerne-i-champions-league-0,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/europa-league/spotpris-se-fc-koebenhavns-jagt-i-europa-league-med-dplay,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/spil/tottenham-soeger-oprejsning-i-det-vigtige-cl-opgoer-mod-roede-stjerne,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/europa-league/fremragende-pris-se-fede-europa-league-kampe-paa-dplay,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/spil/braget-fck-traekker-det-laengste-straa-ude-mod-broendby,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/premier-league/den-forbudte-paragraf-saadan-kan-pl-klubberne-signe-mbappe-neymar-og-messi,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/generelle/spar-penge-paa-koeb-af-brugt-iphone-x,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/superliga/her-er-spillerbudgetterne-i-superligaen-20202021,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/spil/champions-league-kampen-dortmund-skal-vinde,410,https://www.tipsbladet.dk,200,0.0
